artist_name,genre,total_artist_weighted_acousticness,total_artist_weighted_danceability,total_artist_weighted_energy,total_artist_weighted_instrumentalness,total_artist_weighted_liveness,total_artist_weighted_speechiness,total_artist_weighted_valence
Kesha,pop,0.059959697256376315,0.6678174771598033,0.7380041761555409,0.12158740723510034,0.1992687369147614,0.09614257011150931,0.5027782134287645
Lady Gaga,pop,0.11166688363829808,0.6659041665155288,0.7181715719395869,0.02247180079977262,0.21911503304855454,0.061429135240984006,0.5311116948457528
Madonna,pop,0.15343935006333465,0.6473280122933543,0.7048866390089822,0.10225869688501224,0.31405647935565645,0.06836922661462036,0.4922488903699555
Mariah Carey,pop,0.353835074511321,0.5709466557764211,0.5762670437144233,0.0004970891847177887,0.22717477752103726,0.06413656343655182,0.4431151256121358
Maroon 5,pop,0.1320231009207978,0.6562939117483413,0.7181447437611593,0.001702899728969648,0.20041064234344447,0.06101142847482402,0.5271305504386243
Matchbox Twenty,pop,0.1063122671482208,0.4934785330858452,0.7579385420031727,0.0081138544744835,0.21041974264926305,0.045627683927833354,0.5293923075425494
Ne-Yo,pop,0.21731082212166522,0.636021287499197,0.6613331095465049,0.02858226474242403,0.22370065708570955,0.08466201525793872,0.48766231853777536
Nickelback,pop,0.011087142926213845,0.5197616274455271,0.8824126364097385,0.03977139871185306,0.19157691026923235,0.06251206884448299,0.5410473725739433
No Doubt,pop,0.12869311001738826,0.5774837707337896,0.7600348942698851,0.020515984581122408,0.23584516326251273,0.0635091018438914,0.5516783835114294
OneRepublic,pop,0.22261754337734038,0.5038312909881848,0.6778165312888547,0.042628948104589684,0.167168648149197,0.04520690820769227,0.34781359064160344
P!nk,pop,0.15514346081455932,0.6021331614187804,0.7101835209948837,0.000839491547172867,0.18520903572354702,0.08639290437906087,0.5270503458317785
Pitbull,pop,0.09157964221549544,0.7428541062526133,0.744860911894283,0.02739583716045448,0.21097319844309761,0.169413263690201,0.6104098644533104
Selena Gomez,pop,0.07279990730413392,0.6406245803219137,0.777641496981329,0.018501266530641745,0.16194075028882832,0.07530719872494186,0.5181244471451094
Sheryl Crow,pop,0.30915056693096515,0.5292599149559734,0.5987223018781831,0.05910499657181798,0.361608859928226,0.04914171146574673,0.539139555155435
Taylor Swift,pop,0.17400517547003494,0.5906653153906558,0.6231988206740736,0.12511112400209845,0.1921607932098583,0.07433116339080036,0.4038386632556584
The Black Eyed Peas,pop,0.09849777094935615,0.7562947992471318,0.689149713508952,0.019091065852258206,0.24876007967175068,0.16507085539479582,0.5648575167793982
ABBA,pop,0.29089773403052044,0.552069925482767,0.6718670472385705,0.032116552011391776,0.2592653566784275,0.03989105915937153,0.6583698080289299
a-ha,pop,0.18591906072888795,0.5242436501753477,0.6652346822418982,0.06189150679593309,0.29745878932445263,0.04490123232090339,0.44323754184037756
Aqua,pop,0.049385909815926346,0.692124292189246,0.8498250138938247,0.20617178920164836,0.18884930988377713,0.044170132452966956,0.6998919871641883
Ashley Tisdale,pop,0.08429853651353614,0.696858466888337,0.77093480325201,0.12034245456410254,0.22673233037996532,0.06737893703331199,0.5665820033647484
Cher,pop,0.28877330428944886,0.5552658630252775,0.5955859436516174,0.042935006101735784,0.22336488000972754,0.04665040715557538,0.5263262411698728
Cyndi Lauper,pop,0.25435380294525184,0.5927381802917362,0.6675405622144079,0.0568334066326874,0.3463478948230737,0.06702708205711243,0.5745314699458312
Demi Lovato,pop,0.21815522037575408,0.5410709081303248,0.6630778673151685,5.970878993797812e-06,0.18696990055434307,0.09125173243892239,0.4625448095811432
Duran Duran,pop,0.0682541303280312,0.5987804315077677,0.7735196564619818,0.12697104653101257,0.3770548084894336,0.06223002527810345,0.5330322529932382
Fergie,pop,0.15275007630536355,0.6825657354989859,0.6555350106493528,0.018495843497654818,0.22596946098208764,0.17019503736506464,0.5134886444445361
fun.,pop,0.3799622412354127,0.5190038796051973,0.5972181345144683,0.0008356165854595299,0.22854445775358018,0.1940666469681245,0.479948350457748
George Michael,pop,0.2389801860798589,0.6164016679928819,0.5843176407538605,0.07125944075586221,0.25217500447880975,0.05038931138533933,0.5046268579314882
Gwen Stefani,pop,0.13651658107673947,0.6843249425102917,0.7508044291466738,0.03615956661583309,0.20298776937384946,0.07246026786348707,0.5998772699174688
Hilary Duff,pop,0.06942281055060334,0.5933362840412418,0.8136051262642183,0.10411534678099725,0.18899705614537712,0.05685178851786644,0.5761043413668576
